url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Launched,Front camera,Screen size (inches),Touchscreen,Rear camera,Wi-Fi,Internal storage,Bluetooth,Resolution,Operating system,Expandable storage,Accelerometer,Processor,GPS,Ambient light sensor,Gyroscope,Removable battery,RAM,Compass/ Magnetometer,Proximity sensor,Barometer,Wi-Fi Direct,FM,USB OTG,Headphones,NFC,Temperature sensor,Infrared,Mobile High-Definition Link (MHL),Expandable storage type,Processor make,Wi-Fi standards supported,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Number of SIMs,Rear Flash,3G,4G/ LTE,Supports 4G in India (Band 40),Pixels per inch (PPI),GSM/CDMA,SIM Type,Form factor,Sim 2 3G,other_info
https://gadgets.ndtv.com/huawei-mediapad-m5-4638,https://i.gadgets360cdn.com/products/large/1519630974_635_huawei_mediapad_m5.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei Honor MediaPad M5 Cameron-W09B Tablet (64GB, 10.8 inches, Wifi, Grey)",MediaPad M5,"₹ 51,500",75,7,4,7,12,71,Feb-18,8-megapixel,8.4,Yes,13-megapixel,,32GB,,1600x2560 pixels,Android 8.0,Yes,,,,,,,4GB,,,,,,,,,,,,SD card,Kirin 960,,,,5100,256,,,,,,,,280,,,Touchscreen,,{}
https://gadgets.ndtv.com/huawei-mediapad-t3-7-4119,https://drop.ndtv.com/TECH/product_database/images/4192017115159AM_635_huawei_mediapad_t3_7.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei Honor MediaPad T3 Tablet (16GB, 9.6 inches, Wifi & 4G, Gold)",MediaPad T3 7,"₹ 11,999",92,22,10,13,24,32,Apr-17,2-megapixel,7,No,2-megapixel,Yes,8GB,No,1024x600 pixels,Android 6.0,No,Yes,1.3GHz quad-core,Yes,No,No,No,1GB,No,No,No,Yes,No,Yes,3.5mm,No,No,No,No,,MediaTek MT8127,802.11 a/b/g/n,250,179.00 x 103.68 x 8.60,3100,,,"Space Gray, Moonlight Silver",,,,,,,,,,,{'Skin': 'EMUI 4.1'}
https://gadgets.ndtv.com/honor-x1-2057,https://drop.ndtv.com/TECH/product_database/images/1014201460211PM_635_huawei_honor_x1.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Honor,"Huawei Honor X1 7D-501U Tablet (16GB, 7 Inches, WI-FI, Silver & White)",X1,"₹ 19,999",52,8,10,12,23,48,Oct-14,5-megapixel,7,No,13-megapixel,Yes,16GB,Yes,1200x1920 pixels,Android 4.2,Yes,Yes,1.6GHz quad-core,Yes,Yes,Yes,No,2GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,HiSilicon Balong V9R1,802.11 b/g/n,239,,5000,32,4,,1,LED,Yes,No,No,,GSM,Regular,,,"{'Skin': 'Emotion 2.0', 'Thickness': '7.18'}"
https://gadgets.ndtv.com/huawei-matepad-t8-price-in-india-92637,https://i.gadgets360cdn.com/products/large/Huawei-T8-db-714x800-1588764519.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MatePad T8 Tablet (32GB, 8 Inches, WiFi + 4G LTE, Deepsea Blue)",MatePad T8,"₹ 10,799",15,20,7,0,27,47,6th May 2020,Yes,8,Yes,Yes,Yes,16GB,Yes,800x1260 pixels,Android,Yes,,octa-core,Yes,,,,2GB,,,,,,,,,,,,microSD,MediaTek MTK8768,,,,5100,,,Deep Sea Blue,,Yes,,,,,,,,,{'Skin': 'EMUI 10'}
https://gadgets.ndtv.com/huawei-matepad-t8-price-in-india-92637,https://i.gadgets360cdn.com/products/large/Huawei-T8-db-714x800-1588764519.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MatePad T8 Tablet (32GB, 8 Inches, WiFi, Deepsea Blue)",MatePad T8,"₹ 10,126",15,20,7,0,27,47,6th May 2020,Yes,8,Yes,Yes,Yes,16GB,Yes,800x1260 pixels,Android,Yes,,octa-core,Yes,,,,2GB,,,,,,,,,,,,microSD,MediaTek MTK8768,,,,5100,,,Deep Sea Blue,,Yes,,,,,,,,,{'Skin': 'EMUI 10'}
https://gadgets.ndtv.com/huawei-mediapad-m5-lite-price-in-india-91156,https://i.gadgets360cdn.com/products/large/Huawei-MediaPad-M5-Lite-db-1067x800-1569317021.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MediaPad M5 Lite Tablet (32GB, 10.1 inches, Wi-Fi + Cellular, Champagne Gold)",MediaPad M5 lite,"₹ 20,990",835,5,1,5,23,66,Sep-19,8-megapixel,10.1,Yes,8-megapixel,Yes,32GB,Yes,1920x1200 pixels,Android 8.0 Oreo,Yes,,octa-core,Yes,Yes,,,3GB,,Yes,,,,,,,,,,microSD,Kirin 659,802.11 a/b/g/n,475,243.40 x 162.20 x 7.70,7500,256,4.2,Champagne Gold,,,,,,224,,,Touchscreen,,{'Skin': 'EMUI 8.0'}
https://gadgets.ndtv.com/huawei-mediapad-t3-4118,https://drop.ndtv.com/TECH/product_database/images/4192017114535AM_635_huawei_mediapad_t3.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MediaPad T3 Tablet (16GB, 8 inches, WiFi + 4G, Luxurious Gold)",MediaPad T3,"₹ 9,999",927,10,5,9,28,48,Apr-17,2-megapixel,8,No,5-megapixel,Yes,16GB,Yes,1280x800 pixels,Android 7.0,No,Yes,1.4GHz quad-core,Yes,Yes,Yes,No,2GB,No,Yes,No,No,No,Yes,3.5mm,No,No,No,No,,Qualcomm Snapdragon 425,802.11 a/b/g/n,350,211.07 x 124.65 x 7.95,4800,,,"Space Gray, Luxurious Gold",1,,Yes,Yes,No,,GSM,Micro-SIM,,,{'Skin': 'EMUI 5.1'}
https://gadgets.ndtv.com/huawei-mediapad-t3-4118,https://drop.ndtv.com/TECH/product_database/images/4192017114535AM_635_huawei_mediapad_t3.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MediaPad T3 Tablet (32GB, 8 inches, WiFi + 4G, Luxurious Gold)",MediaPad T3,"₹ 11,999",927,10,5,9,28,48,Apr-17,2-megapixel,8,No,5-megapixel,Yes,16GB,Yes,1280x800 pixels,Android 7.0,No,Yes,1.4GHz quad-core,Yes,Yes,Yes,No,2GB,No,Yes,No,No,No,Yes,3.5mm,No,No,No,No,,Qualcomm Snapdragon 425,802.11 a/b/g/n,350,211.07 x 124.65 x 7.95,4800,,,"Space Gray, Luxurious Gold",1,,Yes,Yes,No,,GSM,Micro-SIM,,,{'Skin': 'EMUI 5.1'}
https://gadgets.ndtv.com/huawei-mediapad-t5-price-in-india-13170,https://i.gadgets360cdn.com/products/large/huawei-mediapad-t5-1188x800-1561988782.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Huawei,"Huawei MediaPad T5 Tablet (32GB, 10.1 inches, Wi-Fi + Cellular, Black)",MediaPad T5,"₹ 14,999",343,14,2,8,28,48,1st July 2019,2-megapixel,10.1,Yes,5-megapixel,Yes,16GB,Yes,1920x1200 pixels,Android 8.0 Oreo,,Yes,2.3GHz octa-core,Yes,Yes,,No,2GB,,Yes,,,,,,,,,,,Kirin 659,802.11 a/b/g/n/ac,460,164.00 x 243.00 x 7.80,5100,,,"Black, Champagne Gold",,No,,,,,,,Slate,,{'Front Flash': 'No'}
https://gadgets.ndtv.com/iball-slide-co-mate-3439,https://drop.ndtv.com/TECH/product_database/images/415201643705PM_635_iball_slide_co_mate.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Silde Co-Mate Tablet (8GB, 8 Inches, WI-FI, Metallic Blue)",Slide Co-Mate,"₹ 6,999",22,5,9,14,23,50,15th April 2016,2-megapixel,8,No,5-megapixel,Yes,8GB,Yes,1280x800 pixels,Android 5.1,Yes,Yes,1.3GHz quad-core,Yes,No,No,No,1GB,No,Yes,No,No,Yes,Yes,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,,,4300,32,4,Black,2,LED,,,,188,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-3g-1026-q18-1870,https://drop.ndtv.com/TECH/product_database/images/820201410456PM_635_iball_slide_3g_1026_q18.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 1026-Q18 Tablet (8GB, 10.1 Inches, WI-FI, White)",Slide 3G 1026-Q18,"₹ 7,999",176,20,8,11,26,34,Aug-14,2-megapixel,10.1,No,5-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 4.4,Yes,Yes,1.3GHz quad-core,Yes,Yes,No,No,1GB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,,,4600,32,4,White,2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-3g17-1426,https://drop.ndtv.com/TECH/product_database/images/3282014110036AM_635_iball_slide_3g17.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 3G17 Tablet (4GB, 7 Inches, WI-FI, Silver)",Slide 3G17,"₹ 3,999",16,13,13,13,25,38,Mar-14,0.3-megapixel,7,No,2-megapixel,Yes,4GB,Yes,800x480 pixels,Android 4.2,Yes,Yes,1.3GHz dual-core,Yes,No,No,Yes,512MB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,,,,2500,32,4,,2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-silde-3g-6095-d20-2046,https://drop.ndtv.com/TECH/product_database/images/109201451052PM_635_iball_silde_3g_6095_d20.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 6095-D20 Tablet (8GB, 6.95 Inches, WI-FI, Coffee Gray)",Silde 3G 6095-D20,"₹ 3,999",169,14,9,15,29,33,Oct-14,0.3-megapixel,6.95,No,2-megapixel,Yes,8GB,Yes,,Android 4.4,Yes,Yes,1.3GHz dual-core,Yes,Yes,No,No,1GB,No,Yes,No,Yes,Yes,No,3.5mm,No,No,No,No,microSD,,,,,2600,32,,,2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No'}"
https://gadgets.ndtv.com/iball-slide-3g-6095-q700-2097,https://drop.ndtv.com/TECH/product_database/images/1028201442822PM_635_iball_slide_3g_6095_q700.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 6095-Q700 Tablet (16GB, 6.95 Inches, WI-FI, Brown)",Slide 3G 6095-Q700,"₹ 5,999",204,23,9,12,24,33,Oct-14,0.3-megapixel,6.9,No,5-megapixel,Yes,16GB,Yes,600x1024 pixels,Android 4.4,Yes,Yes,1.3GHz quad-core,Yes,Yes,No,No,1GB,No,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,,,2600,32,4,Brown,2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
https://gadgets.ndtv.com/iball-slide-6351-q400i-2989,https://drop.ndtv.com/TECH/product_database/images/924201570330PM_635_iball_slide_6351_q400i.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 6351-Q400I Tablet (8GB, 7 Inches, WI-FI, Black)",Slide 6351-Q400i,"₹ 4,099",18,39,11,22,6,22,Sep-15,0.3-megapixel,7,No,2-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 4.4,Yes,No,1.3GHz quad-core,Yes,Yes,Yes,No,1GB,No,Yes,No,No,Yes,Yes,,No,No,No,No,microSD,,802.11 b/g/n,,,2500,32,,Black,,,,,,,,,,,{}
https://gadgets.ndtv.com/iball-3g-7271-hd70-1468,https://drop.ndtv.com/TECH/product_database/images/47201470414PM_635_iball_slide_3g_7271_hd_70.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide 7271-HD70 Tablet (8GB, 7 Inches, WI-FI, Black & Silver)",3G 7271 HD70,"₹ 2,200",310,17,6,16,28,32,Apr-14,0.3-megapixel,7,No,2-megapixel,Yes,8GB,Yes,1024x600 pixels,Android 4.2,Yes,Yes,1.3GHz dual-core,Yes,No,No,No,1GB,No,Yes,No,Yes,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,289,134.00 x 212.00 x 70.00,3000,32,,,2,LED,,,,,,,,Yes,"{'Sim 1 Supports 4G in India (Band 40)': 'No', 'Sim 1 3G': 'Yes', 'Sim 2 Supports 4G in India (Band 40)': 'No', 'Sim 2 GSM/CDMA': 'GSM', 'Sim 1 GSM/CDMA': 'GSM', 'Sim 1 4G/ LTE': 'No', 'Sim 2 4G/ LTE': 'No', 'Sim 1 SIM Type': 'Regular', 'Sim 2 SIM Type': 'Regular'}"
